y	x1	x2	x3
5	9.82	14.6	-21.33
4.2	8.66	11.47	-16.05
5.62	12.56	16.19	-25.78
-0.07	-0.39	-3.3	13.71
4.71	9.7	13.32	-19.82
8.26	16.27	22.81	-39.28
6.34	12.28	17.7	-26.93
4.57	10.89	12.88	-12.83
5.69	9.79	17.14	-30.03
2.86	4.78	7.41	-12.07
6.44	13.95	17.81	-24.89
3.33	7.24	9.3	-14.02
7.38	14.3	21.06	-30.31
2.55	5.22	5.78	-6.74
8.82	18.55	23.69	-33.68
9.49	18.68	31.74	-56.19
0.92	1.82	2.11	-3.37
3.99	7.89	11.05	-17.74
8.72	17.51	31.02	-58.81
6.39	12.01	19.93	-33.18
2.24	3.2	7.91	-14.21
7.59	15.3	20.49	-29.03
2.69	5.55	6.98	-9.45
6.69	12.97	18.88	-26.47
5.5	12.68	17.63	-30.56
6.78	13.07	19.06	-28.56
6.09	12.5	15.58	-18.16
3.98	8.09	13.7	-24.62
3.93	7.2	11.39	-19.5
