time	temp	motility
1	1	80
1	1	80
1	1	90
1	1	80
1	1	90
1	1	80
1	1	90
1	1	90
1	1	90
1	1	90
1	1	95
1	1	90
2	1	50
2	1	60
2	1	70
2	1	40
2	1	50
2	1	70
2	1	70
2	1	80
2	1	70
2	1	80
2	1	90
2	1	80
3	1	30
3	1	30
3	1	40
3	1	30
3	1	20
3	1	20
3	1	50
3	1	50
3	1	45
3	1	40
3	1	50
3	1	45
4	1	10
4	1	5
4	1	10
4	1	5
4	1	5
4	1	15
4	1	20
4	1	10
4	1	5
4	1	10
4	1	10
4	1	15
5	1	5
5	1	0
5	1	5
5	1	0
5	1	0
5	1	0
5	1	10
5	1	5
5	1	5
5	1	5
5	1	5
5	1	5
6	1	0
6	1	0
6	1	0
6	1	0
6	1	0
6	1	0
6	1	5
6	1	0
6	1	5
6	1	5
6	1	0
6	1	5
7	1	0
7	1	0
7	1	0
7	1	0
7	1	0
7	1	0
7	1	0
7	1	0
7	1	0
7	1	0
7	1	0
7	1	0
1	2	100
1	2	90
1	2	100
1	2	90
1	2	100
1	2	100
1	2	85
1	2	90
1	2	80
1	2	80
1	2	95
1	2	90
2	2	80
2	2	60
2	2	70
2	2	80
2	2	80
2	2	70
2	2	50
2	2	70
2	2	60
2	2	50
2	2	70
2	2	80
3	2	40
3	2	20
3	2	50
3	2	30
3	2	20
3	2	30
3	2	10
3	2	50
3	2	20
3	2	30
3	2	30
3	2	40
4	2	20
4	2	10
4	2	20
4	2	15
4	2	5
4	2	5
4	2	0
4	2	30
4	2	30
4	2	10
4	2	20
4	2	15
5	2	5
5	2	0
5	2	10
5	2	3
5	2	3
5	2	0
5	2	0
5	2	5
5	2	10
5	2	0
5	2	10
5	2	5
6	2	5
6	2	0
6	2	2
6	2	0
6	2	0
6	2	0
6	2	0
6	2	5
6	2	5
6	2	0
6	2	5
6	2	0
7	2	1
7	2	0
7	2	0
7	2	0
7	2	0
7	2	0
7	2	0
7	2	5
7	2	3
7	2	0
7	2	2
7	2	0
1	3	95
1	3	95
1	3	90
1	3	90
1	3	95
1	3	95
1	3	95
1	3	95
1	3	80
1	3	90
1	3	80
1	3	80
2	3	50
2	3	50
2	3	45
2	3	60
2	3	70
2	3	80
2	3	50
2	3	50
2	3	70
2	3	70
2	3	50
2	3	60
3	3	10
3	3	20
3	3	5
3	3	20
3	3	30
3	3	20
3	3	15
3	3	35
3	3	50
3	3	30
3	3	30
3	3	40
4	3	0
4	3	0
4	3	1
4	3	5
4	3	0
4	3	0
4	3	5
4	3	0
4	3	10
4	3	5
4	3	5
4	3	0
5	3	0
5	3	0
5	3	0
5	3	0
5	3	0
5	3	0
5	3	0
5	3	0
5	3	0
5	3	0
5	3	0
5	3	0
6	3	0
6	3	0
6	3	0
6	3	0
6	3	0
6	3	0
6	3	0
6	3	0
6	3	0
6	3	0
6	3	0
6	3	0
7	3	0
7	3	0
7	3	0
7	3	0
7	3	0
7	3	0
7	3	0
7	3	0
7	3	0
7	3	0
7	3	0
7	3	0
