Month,Day,Rain,Temp
Jan,1,2.58,50.36
Jan,2,2.51,53.49
Jan,3,2.49,60.86
Jan,4,2.37,52.38
Jan,5,2.59,53.99
Jan,6,2.84,54.02
Jan,7,2.37,61.91
Jan,8,2.54,56.24
Jan,9,2.48,59.22
Jan,10,2.76,60.09
Jan,11,2.84,55.48
Jan,12,2.84,52.49
Jan,13,2.56,57.68
Jan,14,2.18,55.57
Jan,15,2.53,62.77
Jan,16,2.5,54.92
Jan,17,2.58,55.76
Jan,18,2.9,59.73
Jan,19,2.62,54.35
Jan,20,2.41,56.93
Jan,21,2.67,58.99
Jan,22,2.47,55.38
Jan,23,2.6,52.15
Jan,24,2.73,58.25
Jan,25,2.21,55.88
Jan,26,2.91,50.5
Jan,27,2.88,58.08
Jan,28,2.54,57.53
Jan,29,2.75,50.28
Jan,30,2.8,54.9
Jan,31,2.94,56.3
Feb,1,3.75,56.63
Feb,2,3.44,60.87
Feb,3,3.15,56.11
Feb,4,3.52,63.77
Feb,5,2.52,53.91
Feb,6,2.77,54.8
Feb,7,3.43,50.88
Feb,8,3.24,54
Feb,9,3.64,57.69
Feb,10,3.44,59
Feb,11,2.65,54.57
Feb,12,2.98,58.83
Feb,13,3.03,59.1
Feb,14,2.97,53.85
Feb,15,3.03,54.32
Feb,16,2.72,63.66
Feb,17,3.12,59.99
Feb,18,2.52,55.69
Feb,19,4.42,55.87
Feb,20,2.89,58.7
Feb,21,4.69,59.51
Feb,22,3.23,55.1
Feb,23,3.43,51.59
Feb,24,1.98,54.78
Feb,25,2.28,57.03
Feb,26,2.92,60.84
Feb,27,3.26,54.51
Feb,28,2.91,61.08
Mar,1,1.92,55.06
Mar,2,1.64,56.7
Mar,3,1.9,56.78
Mar,4,1.82,58.36
Mar,5,1.84,53.14
Mar,6,2.7,54.13
Mar,7,2.46,62.24
Mar,8,1.94,60.17
Mar,9,2.57,57.23
Mar,10,1.79,57.03
Mar,11,2.4,58.56
Mar,12,2.3,64.46
Mar,13,2.2,62.3
Mar,14,2.37,57.18
Mar,15,2.2,66.02
Mar,16,2.21,55.99
Mar,17,1.67,63.42
Mar,18,2.56,58.44
Mar,19,2.53,62.48
Mar,20,1.92,64.6
Mar,21,2.03,59.91
Mar,22,1.69,60.58
Mar,23,2.02,58.42
Mar,24,2.06,65.31
Mar,25,1.7,61.44
Mar,26,1.92,64.82
Mar,27,1.59,58.09
Mar,28,1.77,63.55
Mar,29,2.45,56.31
Mar,30,2.17,55.69
Mar,31,2.08,53.86
Apr,1,0.9,64.92
Apr,2,0.96,67.06
Apr,3,0.79,64.16
Apr,4,0.8,55.02
Apr,5,0.77,59.81
Apr,6,0.81,58.89
Apr,7,0.86,63.6
